var_id,variable,question
1,time,Timestamp
2,wa_undergrad,Are you currently enrolled as an undergraduate student in the state of Washington?
3,school,In what university or college are you currently enrolled?
4,age,How old are you?
5,race,How do you primarily identify?
6,hispanic,Do you identify as Hispanic or Latinx?
7,gender,What is your gender identity?
8,residency,What is your residency status?
9,par_bach,Have either of your parents completed a four-year college degree?
10,pol_views,Please indicate your political preferences on a range of very liberal (1) to very conservative (7)?
11,before_secure,"According to the definition above, was your housing situation secure BEFORE the COVID-19 outbreak?"
12,bs_zip,"BEFORE the COVID-19 outbreak, what zip code did you live in?"
13,bs_housing,Which option most accurately describes your housing situation BEFORE the COVID-19 outbreak?
14,bs_roommates,"BEFORE the COVID-19 outbreak, how many people did you live with?"
15,bs_internet,"BEFORE the COVID-19 outbreak,  how would you describe your access to the internet in your place of residence?"
16,bs_computer,"BEFORE the COVID-19 outbreak,  how would you describe your access to a computer in your place of residence?"
17,bi_zip,"BEFORE the COVID-19 outbreak, what zip code did you primarily live in?"
18,bi_situation,Which of the following characterize your living situation BEFORE the COVID-19 outbreak? (Check all that apply)
19,bi_internet,"BEFORE the COVID-19 outbreak, was it difficult to access the internet when you were off-campus?"
20,bi_computer,"BEFORE the COVID-19 outbreak, was it difficult to access a computer when you were off-campus?"
21,housing_change,"Since the COVID-19 outbreak, has your housing situation changed?"
22,leave_usa,Did you recently move outside of the United States (temporarily or permanently) for reasons related to the COVID-19 crisis?
23,current_secure,"According to the definition above, do you CURRENTLY have secure housing?"
24,cs_zip,In what zip code do you CURRENTLY live (if applicable)?
25,cs_housing,Identify which option most accurately describes your CURRENT housing situation.
26,cs_roommates,How many people do you CURRENTLY live with?
27,cs_internet,How would you describe your access to the internet where you CURRENTLY live?
28,cs_computer,How would you describe your access to a computer where you CURRENTLY live?
29,ci_zip,"SINCE the COVID-19 outbreak, in what zip code have you primarily lived? (Leave blank if not applicable)"
30,ci_situation,Which of the following characterizes your living situation since the COVID-19 outbreak? (Check all that apply)
31,ci_internet,"SINCE the COVID-19 outbreak, has it been difficult to access the internet?"
32,ci_computer,"SINCE the COVID-19 outbreak, has it been difficult to access a computer?"
33,cancelled_course,Were any of your courses canceled due to the transition to online learning?
34,vol_change,Did you voluntarily make any changes to your schedule due to the COVID-19 outbreak and transition to online learning?
35,workspace_b,"BEFORE the COVID-19 outbreak, where did you primarily do your school work?"
